Date,score,decision
2026-01-30,-0.2,NEUTRAL
2026-01-31,-0.25,NEUTRAL
2026-02-01,-0.25,NEUTRAL
2026-02-02,-0.1,NEUTRAL
2026-02-03,-0.2,NEUTRAL
2026-02-04,-0.2,NEUTRAL
2026-02-05,-0.2,NEUTRAL
2026-02-06,-0.1,NEUTRAL
2026-02-07,-0.1,NEUTRAL
2026-02-08,0.05999999999999999,NEUTRAL
2026-02-09,0.05999999999999999,NEUTRAL
2026-02-10,0.05999999999999999,NEUTRAL
2026-02-11,0.04499999999999999,NEUTRAL
2026-02-12,0.04499999999999999,NEUTRAL
2026-02-13,-0.09999999999999999,NEUTRAL
2026-02-14,-0.09999999999999999,NEUTRAL
2026-02-15,0.06,NEUTRAL
2026-02-16,0.06,NEUTRAL
2026-02-17,0.15,NEUTRAL
2026-02-18,0.12,NEUTRAL
2026-02-19,0.15,NEUTRAL
2026-02-20,0.045,NEUTRAL
2026-02-21,0.045,NEUTRAL
2026-02-22,0.045,NEUTRAL
2026-02-23,0.12,NEUTRAL
2026-02-24,0.029999999999999992,NEUTRAL
2026-02-25,-0.15,NEUTRAL
2026-02-26,-0.15,NEUTRAL
2026-02-27,-0.15,NEUTRAL
2026-02-28,-0.15,NEUTRAL
